Flight Deck Pizza, 832 W International Airport Rd, Anchorage, AK 99518, 907-802-3523
Brick's Pizza, 5958 Centreville Crest Ln, Centreville, VA 20121, 703-260-6935
Domino's Pizza, 5663 Stone Rd, Centreville, VA 20120, 157-154-91900
Ciro's New York Pizza, 6067 Centreville Crest Ln, Centreville, VA 20121, 703-420-5650
Bella Pizza, 5740 Pickwick Rd, Centreville, VA 20121, 703-783-3970
Ciao Osteria, 14115 St Germain Dr, Centreville, VA 20121, 703-688-8663
King's Bite, 13647 Lee Jackson Memorial Hwy, Chantilly, VA 20151, 703-828-0695
Pizza Boli's, 4500 Daly Dr, Chantilly, VA 20151, 703-884-8188
Paisano's Pizza, 4078 Airline Pkwy, Chantilly, VA 20151, 703-215-1873
Santini's New York Style Deli, 3980 Corsair Court, Chantilly, VA 20151, 703-870-3076
Buon Appetito, 13932 Metrotech Dr,, Chantilly, VA 20151, 703-215-9620
Gusto Farm To Street, 14385 Newbrook Dr, Chantilly, VA 20151, 240-802-7301
Fabio's NY Pizza, 1551 E High St, Charlottesville, VA 22902, 434-212-1377
Extreme Pizza, 335 Merchant Wall Square, Charlottesville, VA 22902, 434-325-5356
South Street Brewery, 106 South Street West, Charlottesville, VA 22902, 434-205-3054
Mona Lisa Pasta, 921 Preston Ave, Charlottesville, VA 22903, 434-260-5483
Vita Nova New York Style Pizza & Restaurant, 310 E Main St, Charlottesville, VA 22902, 434-325-5505
Benny Deluca's, 913 W Main St, Charlottesville, VA 22903, 434-325-5155
Fry's Spring Station, 2115 Jefferson Park Ave, Charlottesville, VA 22903, 434-226-7505
Vivace, 2244 Ivy Rd, Charlottesville, VA 22903, 434-205-3576
Lampo Neapolitan Pizzeria, 205 Monticello Rd, Charlottesville, VA 22902, 434-325-5603
Vinny's Italian Grill, 241 Connor Dr #1, Charlottesville, VA 22911, 434-214-4627
Sal's NY Pizza, 701 N Battlefield Blvd, Chesapeake, VA 23320, 757-405-7180
Sal's Pizza, 732 Eden Way N, Chesapeake, VA 23320, 757-337-5407
Brooklyn Pizza, 3353 S Military Hwy, Chesapeake, VA 23323, 757-239-2729
Sal's NY Pizza, 3304 Taylor Rd, Chesapeake, VA 23321, 757-673-9000
Four Season's Pizzeria, 817 Botetourt Ct, Chesapeake, VA 23320, 757-774-5475
Chicho's Pizza, 403 Centerville Tpke S, Chesapeake, VA 23322, 757-410-9191
Sal's NY Pizza, 2041 N Battlefield Blvd, Chesapeake, VA 23324, 757-545-9121
Great Pizza Co, 561 Cedar Rd, Chesapeake, VA 23322, 757-943-9306
Casa Di Costanzo Pizza, 1464 Mt Pleasant Rd, Chesapeake, VA 23322, 757-745-4174
Chicho's Pizza, 1400 Kempsville Rd, Chesapeake, VA 23320, 757-548-2442
Mama's Pizza & Subs, 10020 Chester Rd, Chester, VA 23831, 804-764-0075
Pietro's Pizza & Italian, 2601 Osborne Rd, Chester, VA 23831, 804-469-1473
Antonio's Restaurant & Winebar, 11956 Iron Bridge Plaza, Chester, VA 23831, 804-396-6981
Cesare's Ristorante & Pizza, 13301 Rivers Bend Blvd, Chester, VA 23836, 804-477-8358
Pizza Express, 11852 Chester Village Dr, Chester, VA 23831, 804-265-4788
Maglio's Pizza, 7220 Hancock Village Dr, Chesterfield, VA 23832, 804-681-7317
Gino's Pizza & Italian Restaurant, 6429 Centralia Rd, Chesterfield, VA 23832, 804-823-7479
Rascals Pizza, 11210 Bundle Rd, Chesterfield, VA 23838, 804-265-4715
Italiano's Pizza, 3631 Radford Rd, Christiansburg, VA 24073, 540-307-2323
Milano's, 50 Merrimac Rd, Christiansburg, VA 24073, 540-518-0470
Amelia's Pizzeria & Restaurant, 1130 Cambria St NE, Christiansburg, VA 24073, 540-698-3470
Muncheese Colonial Heights, 17200 Jefferson Davis Hwy, Colonial Heights, VA 23834, 804-312-5259
Carini's Italian Restaurant, 3620 Boulevard, Colonial Heights, VA 23834, 804-469-1471
Vincenzo's Italian Restaurant, 609 Boulevard, Colonial Heights, VA 23834, 804-835-6404
Dante's Pizzeria, 2900 Cedar Ln, Colonial Heights, VA 23834, 804-302-5501
Grill Colonial Italian Restaurant, 2510 Boulevard, Colonial Heights, VA 23834, 804-409-4455
Pino's Italian Bistro & Pizzeria, 3420 Boulevard, Colonial Heights, VA 23834, 804-429-1894
Mama Mais Family Restaurant, 200 James Madison Hwy, Culpeper, VA 22701, 540-402-9480
Mama's Pizza & Subs, 500 Meadowbrook Dr #100, Culpeper, VA 22701, 540-390-1382
Pete's Pizza, 490 Culpeper Town Square, Culpeper, VA 22701, 540-402-9574
Luigi's Italian Restaurant, 235 Southgate Shopping Center, Culpeper, VA 22701, 540-390-1474
Ciro's Pizza, 725 James Madison Hwy, Culpeper, VA 22701, 540-507-2414
Fox Pizza & Subs, 1415 Piney Forest Rd, Danville, VA 24540, 434-688-4649
Pino's Pizza Italian Restaurant, 618 Westover Dr, Danville, VA 24541, 434-483-5634
Primo Pizza, 1010 Piney Forest Rd, Danville, VA 24540, 434-688-0787
Medos II Italian Restaurant, 1227 Franklin Turnpike, Danville, VA 24540, 434-885-0616
Ciro's Italian Family Restaurant, 1360 Piney Forest Rd, Danville, VA 24540, 434-442-4144
Joe & Mimma's Italian Restaurant, 3336 Riverside Dr, Danville, VA 24541, 434-471-4798
Isabell's Pizza Pasta & Subs, 1451 South Boston Rd, Danville, VA 24540, 434-471-4855
Frank's Italian Restaurant, 1959 Memorial Dr, Danville, VA 24541, 434-688-4927
Village's Pizza, 4040 Franklin Turnpike, Danville, VA 24540, 434-595-3440
Pete's Pizza, 2176 W Main St, Danville, VA 24541, 434-595-3760
Aroma Pizza Plus, 4380 Kevin Walker Dr, Dumfries, VA 22025, 703-988-7558
Pizza Boli's, 17197 Wayside Dr, Dumfries, VA 22026, 703-215-2107
Pizza -Padrino's II Bar & Italian Restaurant, 18035 Dumfries Shopping Plaza, Dumfries, VA 22026, 703-420-5761
Lebanese Kitchen, 13031 Lee Jackson Memorial Hwy, Fairfax, VA 22033, 703-687-6016
New York Pizza Factory, 11143 Lee Hwy, Fairfax, VA 22030, 703-468-8111
Stone Hot Pizza, 3903 Fair Ridge Dr, Fairfax, VA 22033, 703-935-4644
Pizza Boli's, 11217 Lee Highway, Fairfax, VA 22030, 703-468-0112
Flippin Pizza, 9548 Main Street, Fairfax, VA 22031, 571-458-1226
Zaytoon Pizzeria, 4290 Chain Bridge Rd, Fairfax, VA 22030, 703-844-2573
Paisano's Pizza - Fair Lakes, 12715 Shoppes Ln, Fairfax, VA 22033, 703-666-8624
Paisano's, 10330 Main Street , Fairfax, VA 22030, 703-997-2461
Tony's New York Pizza, 13087 Fair Lakes Shopping Center, Fairfax, VA 22033, 703-215-2083
Lil Italian Pizza, 10014 Main St, Fairfax, VA 22031, 703-688-8467
Stone Hot Pizza, 3829 S George Mason Dr, Falls Church, VA 22041, 703-646-7311
Duccini's Pizza, 3420 Carlyn Hill Dr, Falls Church, VA 22041, 703-215-1730
10 Pizza, 1051 W Broad St, Falls Church, VA 22046, 703-215-4448
Flippin Pizza, 800 W Broad St, Falls Church, VA 22046, 703-420-7414
Vocelli Pizza, 7393 Lee Hwy, Falls Church, VA 22042, 703-215-1743
Paisano's Pizza - Falls Church, 244 West Broad Street, Falls Church, VA 22046, 703-215-2887
Pistone's Italian Inn, 6320 Arlington Blvd, Falls Church, VA 22042, 703-935-2594
Fairfax Deli & Pizza, 7173 Lee Hwy, Falls Church, VA 22046, 703-646-8765
The Locker Room Sports Bar & Grill, 502 W Broad St, Falls Church, VA 22046, 703-982-7432
Anthony's Restaurant & Pizza, 3000 Annandale Rd, Falls Church, VA 22042, 703-348-9283
Merk's Place, 2106 W 3rd St, Farmville, VA 23901, 434-290-4042
Pinos Italian Restaurant & Pizzeria, 404 S Main St, Farmville, VA 23901, 434-808-1062
Pizza World, 237 Sunchase Blvd, Farmville, VA 23901, 434-290-4436
Graziano's, 14805 Forest Rd #105, Forest, VA 24551, 434-448-2920
Lori's, 1208 Perrowville Rd, Forest, VA 24551, 434-661-2463
Trio, 14532 Forest Rd, Forest, VA 24551, 434-661-2764
Mr. Shipp's Pizza & Subs, 17980 Forest Rd #D, Forest, VA 24551, 434-661-2531
Primavera Pizzeria & Grill, 600 William St, Fredericksburg, VA 22401, 540-361-6841
Mama’s Pizza, 5028 Plank Rd, Fredericksburg, VA 22407, 540-684-5389
Primo Pizza, 7132 Salem Fields Blvd, Fredericksburg, VA 22407, 540-507-2650
Primavera Pizzeria & Grill, 570 Celebrate Virginia Pkwy, Fredericksburg, VA 22406, 540-684-5321
George's Pizza, 5306 Plank Rd, Fredericksburg, VA 22407, 540-507-2984
Malawi's Pizza, 1 Towne Centre Blvd, Fredericksburg, VA 22407, 540-507-2971
Padrino's III, 1101 Potomac Ave, Fredericksburg, VA 22405, 540-684-5436
Buffalo Philly's, 10209 Southpoint Pkwy, Fredericksburg, VA 22407, 540-684-5506
Quest Pizza, 10209 Southpoint Pkwy, Fredericksburg, VA 22407, 540-684-5526
Castiglia's Italian Restaurant, 324 William St, Fredericksburg, VA 22401, 540-684-5405
Royal Food Mart, 507 N Royal Ave, Front Royal, VA 22630, 540-508-8686
Melting Pot Pizza, 138 W 14th St, Front Royal, VA 22630, 540-508-8414
Castiglia's Italian Restaurant and Pizza, 328 Remount Rd, Front Royal, VA 22630, 540-508-8431
Pizza Boli's, 14690 Lee Hwy, Gainesville, VA 20155, 703-957-1625
Queens Wings & Pizza, 6826 Piedmont Center Plz, Gainesville, VA 20155, 571-781-1027
Paisano's Pizza - Gainesville, 7368 Atlas Walk Way, Gainesville, VA 20155, 703-596-8112
Pizza NY Margherita, 5115 Wellington Rd, Gainesville, VA 20155, 703-662-8186
Joe's Pizza & Sub, 14085 S Store Ln, Gainesville, VA 20155, 703-935-2732
Mama Mia Pizza, 7669 Limestone Dr, Gainesville, VA 20155, 703-844-9824
Ciro's Pizza & Subs, 1138 E Stuart Dr, Galax, VA 24333, 276-250-6017
R J's Delicious Pizza, 1006 E Stuart Dr, Galax, VA 24333, 276-601-7681
Italian Garden, 104 N Main St, Galax, VA 24333, 276-218-3386
Rapid Pizza, 1592 Mountain Rd, Glen Allen, VA 23060, 434-480-4095
Gino's Ristorante Pizzeria, 10118 Brook Rd, Glen Allen, VA 23059, 804-331-6706
Leonardo's Pizza & Pasta, 10883 W Broad St, Glen Allen, VA 23060, 804-424-5970
Glen Allen Bistro, 10209 Staples Mill Rd, Glen Allen, VA 23060, 804-463-5020
Little Angela's Ristorante, 10246 Staples Mill Rd, Glen Allen, VA 23060, 804-569-5350
Sal's NY Pizza - King Street, 1103 N King St, Hampton, VA 23669, 757-379-8919
Sal's NY Pizza, 2266 Executive Dr, Hampton, VA 23666, 757-913-5272
Sal's New York Pizza, 87 Lincoln St, Hampton, VA 23669, 757-347-5667
Ur Pizzeria, 2155 Cunningham Dr, Hampton, VA 23666, 757-913-5078
Anna's Italian Restaurant, 1156 Big Bethel Rd, Hampton, VA 23666, 757-418-6445
Marco's Pizza, 3355 Commander Shepard Blvd, Hampton, VA 23666, 757-766-2726
Venture Kitchen & Bar, 9 E Queens Way, Hampton, VA 23669, 757-330-3962
Vito's Pizza & Italian Restaurant, 905 Aberdeen Rd, Hampton, VA 23666, 757-379-8827
Anna's Pizza in Buckroe, 1979 E Pembroke Ave, Hampton, VA 23663, 757-529-3442
Andrea's Pizza Shop, 1114-C W Mercury Blvd, Hampton, VA 23666, 757-529-3393
Little Italy Pizza, 1469 S Main St, Harrisonburg, VA 22801, 540-217-4998
Anthony's Campus Pizza, 1762 S Main St, Harrisonburg, VA 22801, 540-416-9959
Vito's Italian Kitchen, 1047 Port Republic Rd, Harrisonburg, VA 22801, 540-426-3255
Bella Luna, 80 W Water St, Harrisonburg, VA 22801, 540-426-3289
Brothers Pizza, 1059 S High St, Harrisonburg, VA 22801, 540-426-3953
Ciro's Lasagna House, 778 E Market St, Harrisonburg, VA 22801, 540-426-3771
The Galley, 2430 S Main St, Harrisonburg, VA 22801, 540-426-3761
Francesco's, 1751 Virginia Ave, Harrisonburg, VA 22802, 540-426-3786
Tutti Gusti Pizzeria, 1326 Hillside Ave, Harrisonburg, VA 22801, 540-426-3284
Pizzarama of Haymarket, 14950 Washington St , Haymarket, VA 20169, 703-844-1762
Giuseppe's Italian Restaurant, 15120 Washington St, Haymarket, VA 20169, 703-688-8187
Tony's New York Pizza, 5361 Merchants View Sq, Haymarket, VA 20196, 571-781-1021
Napoli Pizza, 3324 Pump Rd, Henrico, VA 23233, 804-318-3896
Picciotti's Pizza, 9039 W Broad St, Henrico, VA 23294, 804-476-2025
Franco's Italian Restaurant, 9010 Staples Mill Rd, Henrico, VA 23228, 804-424-4871
Two Guys Pizza, 11636 W Broad St, Henrico, VA 23233, 804-409-8474
RVA Pizza, 9742 Gayton Rd, Henrico, VA 23238, 804-476-0254
Extreme Pizza, 11653 W Broad St, Henrico, VA 23233, 804-292-2783
J Rocco's Pizza, 2500 Gayton Centre Dr, Henrico, VA 23238, 804-352-6016
Nicks Roman Terrace, 8051 West Broad Street A, Henrico, VA 23294, 804-463-6219
Arianna's Italian Grill, 5107 Lakeside Ave, Henrico, VA 23228, 804-409-0584
Roma Ristorante Italiano, 8330 Staples Mill Rd, Henrico, VA 23228, 804-414-8785
Mr Pepperoni, 303 Spring St, Herndon, VA 20170, 703-215-9851
Vocelli Pizza, 3065 Centreville Rd, Herndon, VA 20171, 703-687-6024
Golden Crust, 626 Grant St, Herndon, VA 20170, 703-215-9423
Piero's Corner, 13340 Franklin Farm Rd, Herndon, VA 20171, 703-688-8190
Paisano's Pizza, 1141 Elden St, Herndon, VA 20170, 703-796-6800
Lil' Italian Cafe, 3065 Centreville Rd, Herndon, VA 20171, 703-904-0223
Spice Town, 150 Elden St, Herndon, VA 20170, 703-997-7007
Prime Pizza, 2443 Centreville Rd, Herndon, VA 20171, 571-384-4587
The Breeze, 781 Station St, Herndon, VA 20170, 703-844-2724
Rubinos Pizzeria, 2415 Centreville Rd, Herndon, VA 20171, 703-215-2582
Pizza Bono, 10426 James Madison Pkwy, King George, VA 22485, 540-625-1043
Vinny's Italian Grill & Pizzeria, 7835 Dolleys Ct, King George, VA 22485, 540-625-1426
King George House of Pizza, 11437 Ridge Rd, King George, VA 22485, 540-625-1559
Roma Pizza, 5293 Palivoda Dr, King George, VA 22485, 540-413-0210
King's Pizza & Italian Restaurant, 7983 Kings Hwy, King George, VA 22485, 540-625-1305
Giovanni's NY Pizza, 520 E Market St, Leesburg, VA 20176, 703-844-2309
New Yorker Pizza, 828 S King St, Leesburg, VA 20175, 703-687-9278
Taste of Lebanon, 510 E Market St, Leesburg, VA 20176, 571-252-7793
Paisano's Pizza, 25 Catoctin Cir Ne, Leesburg, VA 20176, 703-844-4502
Solo NY Pizza, 700 Fieldstone Dr NE, Leesburg, VA 20176, 571-248-5760
Fireworks Pizza, 201 Harrison St SE, Leesburg, VA 20175, 701-401-6565
Mama Lucci's, 302 Industrial Ct SE, Leesburg, VA 20175, 703-687-0149
Deli Italiano Gourmet Pizza & Subs, 19329 Winmeade Dr, Leesburg, VA 20176, 571-200-0945
La Villa Roma Restaurant & Pizzeria, Toll House Shopping Center, 305G E Market St, Leesburg, VA 20176, 703-662-9004
Rocco's NY Pizza & Subs, 62 Plaza St NE #E, Leesburg, VA 20176, 703-420-3349
The Palms, 101 W Nelson St, Lexington, VA 24450, 540-377-1946
Rocca Bar Ristorante, 30 S Main St, Lexington, VA 24450, 540-572-4699
Salerno Pizzeria, Bar & Bistro, 115 S Jefferson St, Lexington, VA 24450, 540-997-2463
Frank's Pizza & Subs, 511 E Nelson St, Lexington, VA 24450, 540-572-4219
Aroma Pizza Company, 7200 Telegraph Sq Dr, Lorton, VA 22079, 703-832-0317
Vocelli Pizza, 9000 Lorton Station Blvd, Lorton, VA 22079, 703-988-7479
Vinny's Italian Grill, 7730 Gunston Plz, Lorton, VA 22079, 703-721-4558
Antonelli's Pizza & Subs, 8212 Gunston Corner Ln, Lorton, VA 22079, 703-596-3472
Dominico’s Italian Restaurant & Pizzeria, 19 Luray Shopping Ctr, Luray, VA 22835, 540-743-2555
Anthony's Pizza, 1432 US 211, Luray, VA 22835, 540-860-4154
Mrs B's Pizza, 606 E Main St, Luray, VA 22835, 540-252-3606
Gennaro's Italian Restaurant, 402 W Main S, Luray, Va 22835, 540-426-3102
Rivermont Pizza, 2496 Rivermont Ave, Lynchburg, VA 24503, 434-448-2936
Waterstone Pizza, 1309 Jefferson St, Lynchburg, VA 24504, 434-448-2774
Daughters & Sons Pizza, 522 Fifth St, Lynchburg, VA 24504, 434-448-2942
Monte Carlo Restaurant, 3230 Old Forest Rd, Lynchburg, VA 24501, 434-661-2466
Brothers Pizza & Grill, 20722-C Timberlake Rd, Lynchburg, VA 24502, 434-661-2506
Upper Crust Pizza Co Wyndhurst, 102 Hexham Dr, Lynchburg, VA 24502, 434-448-2792
Isabella's Italian Trattoria, 4925 Boonsboro Rd, Lynchburg, VA 24503, 434-363-9281
Benny Scarpetta's, 1019 Main St, Lynchburg, VA 24504, 434-661-2421
Jojo Pizza, 1400 Lakeside Dr, Lynchburg, VA 24501, 434-661-2630
Fire & Hops Taphouse, 100 Tradewynd Dr, Lynchburg, VA 24502, 434-661-2536
House of Philly, 8507 Bucyrus Ct, Manassas, VA 20110, 703-291-3691
Pizza Time, 9091 Mathis Ave, Manassas, VA 20110, 571-364-6749
Perfect Pizza Company, 9774 Zimbro Ave, Manassas, VA 20110, 703-935-4756
Primo Pizza, 9926 Liberia Ave, Manassas, VA 20110, 703-635-3036
Vocelli Pizza, 8671 Sudley Rd, Manassas, VA 20110, 703-392-5900
Pizza Boli's, 8800 Commerce Ct, Manassas, VA 20110, 703-335-2000
Tuscani Italian Grill, 9987 Sowder Village Sq, Manassas, VA 20109, 703-935-4801
Jerry's Subs & Pizza, 10924 Bulloch Dr, Manassas, VA 20109, 703-365-0530
Sbarro, 8300 Sudley Road, Manassas, VA 20109, 571-261-7237
Paisano's Pizza - Manassas, 8683 Sudley Road, Manassas, VA 20110, 703-215-4534
CJ's Pizza, 534 S Main St, Marion, VA 24354, 276-451-2636
27 Lions, 111 E Main St, Marion, VA 24354, 276-378-9266
Pizza Perfect On Main, 784 N Main St, Marion, VA 24354, 276-378-9716
Andy's Pizza, 2001 International Drive, Mclean, VA 22102, 703-775-2212
Mclean Pizza Restaurant, 1434 Center St, Mclean, VA 22101, 703-420-5405
Perfect Pita, 8280 Greensboro Dr #115, Mclean, VA 22102, 703-844-4321
Andy's Pizza, 2001 International Drive, Mclean, VA 22102, 703-775-2212
Mclean Pizza Restaurant, 1434 Center St, Mclean, VA 22101, 703-420-5405
Perfect Pita, 8280 Greensboro Dr #115, Mclean, VA 22102, 703-844-4321
Mimmo's Restaurant, 8319 Bell Creek Rd, Mechanicsville, VA 23116, 804-269-8375
Anna's Italian Restaurant & Pizzeria, 7009 Mechanicsville Turnpike, Mechanicsville, VA 23111, 804-593-5344
Giovanni's Pizza, 9502 Chamberlayne Rd, Mechanicsville, VA 23116, 804-876-0258
Primo Pizza, 6102 Brashier Blvd I, Mechanicsville, VA 23111, 804-554-3574
Lidia's Restorante Italiano, 9375 Atlee Rd, Mechanicsville, VA 23116, 804-625-4036
Franco's Italian Restaurant, 7225 Bell Creek Rd, Mechanicsville, VA 23111, 804-298-2601
Gus' Italian Cafe, 7358 Bell Creek Rd, Mechanicsville, VA 23111, 804-925-2169
360 Pizzeria, 8036 Mechanicsville Turnpike, Mechanicsville, VA 23111, 804-409-2536
Candela's Italian, 14235 Midlothian Tpke, Midlothian, VA 23113, 804-446-6342
Sergio's Pizza, 4824 Market Square Ln, Midlothian, VA 23112, 804-655-0105
Gino's Pizzeria & Italian Restaurant, 14742 Village Square Pl, Midlothian, VA 23112, 804-409-3757
Brooklyn Pizza Authority, 10613 Hull Street Rd, Midlothian, VA 23112, 804-409-8157
Vinny's Italian Grill, 6737 Lake Harbour Dr, Midlothian, VA 23112, 804-375-4837
A Taste Of Italy, 3929, 13547 Waterford Pl, Midlothian, VA 23112, 804-352-6865
Anna's Italian Restaurant & Pizzeria, 11027 Hull Street Rd, Midlothian, VA 23112, 804-352-2684
Angelo's Italian Restaurant, 11643 Midlothian Turnpike, Midlothian, VA 23113, 804-704-8574
A New York Slice, 133 Browns Way Rd, Midlothian, VA 23114, 804-424-5326
Dolce Vita Italian Restaurant, 2401 Colony Crossing Pl, Midlothian, VA 23112, 804-704-8623
Downtown Pizzeria, 1100 Celebration Ave, Moneta, VA 24121, 540-266-1832
Vinny's Italian Grill & Pizzeria, 16547 Moneta Rd, Moneta, VA 24121, 540-384-5735
Pizza Pub, 16430 Booker T Washington Hwy, Moneta, VA 24121, 540-302-5403
Jake's Place, 1041 Harbour Inn Lane, Moneta, VA 24121, 540-384-5131
Joe's Pizza Italian Restaurant, 130 Scruggs Rd, Moneta, VA 24121, 540-384-5011
New York Pizza, 13300 Booker T Washington Hwy, Moneta, VA 24121, 540-384-5238
Lago Pizza, 14807 Moneta Rd G, Moneta, VA 24121, 540-352-4768
Sunrise Pizzeria Family Restaurant, 341 Chatham Dr, Newport News, VA 23602, 757-267-6987
Sal's NY Pizza, 613 Pilot House Drive, Newport News, VA 23606, 757-913-5361
Sunrise Pizzeria Family Restaurant, 10158 Jefferson Ave, Newport News, VA 23605, 757-347-5789
Little Jimmy's Pizza, 24 Newmarket Sq, Newport News, VA 23605, 757-913-5291
Luigi's Italian Restaurant, 15400 Warwick Blvd, Newport News, VA 23608, 757-267-4962
Bravo Pizzeria, 13144 Jefferson Ave, Newport News, VA 23608, 757-347-8284
Mediterranean Kebabs Pizza House, 980 J Clyde Morris Blvd, Newport News, VA 23601, 757-418-6030
Vinnys Pizza & Pasta, 748 J Clyde Morris Blvd, Newport News, VA 23601, 757-418-6569
Vinny's Pizza & Pasta, 332 Oyster Point Rd, Newport News, VA 23602, 757-529-3406
Gus's New York Pizza, 620 Stoney Creek Ln #16, Newport News, VA 23608, 757-267-9694
Sal's Pizza, 1207 N Military Hwy, Norfolk, VA 23502, 757-455-3663
Antonio's Italian Ristorante, 1710 E Little Creek Rd, Norfolk, VA 23518, 757-279-7275
Sal's NY Pizza, 201 E Berkley Ave, Norfolk, VA 23523, 757-394-8498
Mona Lisa Restaurant & Bar, 3574 N Military Hwy, Norfolk, VA 23518, 757-300-1361
Golden Pizzeria, 5401 Tidewater Dr, Norfolk, VA 23509, 757-632-4311
Cogan's Pizza North, 4311 Colley Ave, Norfolk, VA 23508, 757-600-6062
Ynot Italian, 1517 Colley Ave, Norfolk, VA 23517, 757-512-7016
Your Pie, 7550 Granby St, Norfolk, VA 23505, 757-300-5633
Fat Boy Grill & Deli, 985 Ingleside Rd, Norfolk, VA 23502, 757-239-2842
Alpha Delta Pizzeria, 2301 Colley Ave, Norfolk, VA 23517, 757-347-8524
Muncheese Pizza Petersburg, 1910 E Washington St, Petersburg, VA 23803, 804-312-5098
Simona's Pizzeria, 30 Medical Park Blvd, Petersburg, VA 23805, 804-469-1456
Maria's, 21 W Old St, Petersburg, VA 23803, 804-322-1665
Phat Phillies, 720 E Washington St, Petersburg, VA 23803, 804-409-0304
Lucky's Pizzeria, 1450 W Wythe St, Petersburg, VA 23803, 804-302-5735
Roma's Italian Pizza Restaurant, 2447 County Dr, Petersburg, VA 23803, 804-594-8311
Giuseppes's Pizza, 7022 Boydton Plank Rd, Petersburg, VA 23803, 804-312-5535
Bella Pizza, 20845 Woodpecker Rd, Petersburg, VA 23803, 804-265-4121
Mama Mia's Restaurant & Pizzeria, 893 Yorktown Rd, Poquoson, VA 23662, 757-347-8725
Anna's Pizza & Italian Restaurant, 464 Wythe Creek Rd #D, Poquoson, VA 23662, 757-600-6545
Mr C's Pizza & Subs, 493 Wythe Creek Rd, Poquoson, VA 23662, 757-607-4657
Sal's Pizza, 1204 Airline Blvd, Portsmouth, VA 23707, 757-673-3950
Gino's Pizzeria, 455 Court St, Portsmouth, VA 23704, 757-356-6122
Pizza Box, 2616 Detroit St, Portsmouth, VA 23707, 757-529-3700
Bella Pizza, 1125 Port Centre Pkwy, Portsmouth, VA 23704, 757-542-0860
Five Boroughs Restaurant, 814 High St, Portsmouth, VA 23704, 757-301-5828
East Side Pizza, 5630 Portsmouth Blvd, Portsmouth, VA 23701, 757-432-3764
Rita's Pizza, 3226 Academy Ave, Portsmouth, VA 23703, 757-379-8852
Paradise Pizzeria Family Restaurant, 2900 Airline Blvd, Portsmouth, VA 23701, 757-529-3438
Eddys Express Restaurant, 3525 Victory Blvd, Portsmouth, VA 23701, 757-529-3463
Amici's, 611 Airline Blvd, Portsmouth, VA 23707, 757-529-8411
Italian Delight of Powhatan, 1795 S Creek One, Powhatan, VA 23139, 804-621-5438
Angela's Italian Ristorante, 3452 Anderson Hwy, Powhatan, VA 23139, 804-424-5765
Rosa's Italian Pizza & Restaurant, 2470 Anderson Hwy, Powhatan, VA 23139, 804-424-5254
Milton Pizza, 1735, 2530 New Kent Hwy, Quinton, VA 23141, 804-463-6388
Maria's Pizza & Italian Restaurant, 2595 New Kent Hwy, Quinton, VA 23141, 804-409-2520
Prima Pizza, 2700 Pocahontas Trail, Quinton, VA 23141, 804-396-2081
Highlander Pizza, 700 E Main St, Radford, VA 24141, 540-585-1013
Benny Nicola's, 1018 Clement St, Radford, VA 24141, 540-235-5447
Mike's Pizza, 1116 Grove Ave, Radford, VA 24141, 540-518-0323
Brick House Pizza, 311 W Main St, Radford, VA 24141, 540-518-0514
Sal's Italian Restaurant & Pizzeria, 709 W Main St, Radford, VA 24141, 540-518-0157
Gregorio's Trattoria, 1428 North Point Village Ctr, Reston, VA 20194, 703-594-8542
Pizza Boli's, 1675 Reston Pkwy, Reston, VA 20194, 703-810-3693
Flippin' Pizza, 11130 S Lakes Dr, Reston, VA 20191, 571-485-7036
Jerry's Subs & Pizza, 1432 North Point Village Center, Reston, VA 20194, 703-707-0036
Tropical Smoothie Cafe VA 98, 11684 Plaza America Dr, Reston, VA 20190, 703-796-2233
Kalypso's Sports Tavern, 1617 Washington Plaza N, Reston, VA 20190, 703-215-4634
Paisano's, 12056 N Shore Dr, Reston, VA 20190, 703-997-7849
Cafesano, 11130 M S Lakes Dr, Reston, VA 20191, 703-832-4991
Valentino's Italian Pizzeria, 223 E Grace St, Richmond, VA 23219, 804-377-3333
DaVinci Pizza, 4610 Forest Hill Ave, Richmond, VA 23225, 804-977-9976
Dolce Pizza & Grill, 2909 Nine Mile Rd, Richmond, VA 23223, 804-409-3389
DaVinci, 4933 9 Mile Rd, Richmond, VA 23223, 804-477-8412
DaVinci Pizza, 1900 Mechanicsville Turnpike, Richmond, VA 23223, 804-352-6246
Apollo's Pizza, 9410 W Broad St, Richmond, VA 23294, 804-818-6531
Zorba's Pizza, 4026 MacArthur Ave, Richmond, VA 23227, 804-292-2752
Christian's Pizza, 7003 Three Chopt Rd, Richmond, VA 23226, 804-479-8631
DaVinci Pizza, 301 W Brookland Park Blvd, Richmond, VA 23222, 252-500-0203
Davinci's, 1120 N 25th St, Richmond, VA 23223, 804-312-5442
Highlander Pizza, 2043 Electric Rd, Roanoke, VA 24018, 540-774-7777
Leonore Restaurant, 128 Campbell Ave SW, Roanoke, VA 24011, 540-427-6687
All Day Pizza Cafe, 5028 Keagy Rd , Roanoke, VA 24018, 540-384-5183
Jimmy V's Restaurant, 3404 Brandon Ave SW, Roanoke, VA 24018, 540-698-3881
Tony Avellino's New York Style Pizza, 3606 Franklin Rd SW, Roanoke, VA 24014, 540-302-5056
Fork in the Alley, 2123 Crystal Spring Ave SW, Roanoke, VA 24014, 540-302-5272
Beamer's 25, 357 Salem Ave SW, Roanoke, VA 24016, 540-302-5196
